GHG,GHG1,SAR,AR5,AR4,SARall,AR5all,AR4all,AR6
CO2,CO2,3.7,3.7,3.7,3.7,3.7,3.7,3.7
CH4,CH4,21,28,25,21,28,25,27
CH4_AGR,CH4,21,28,25,21,28,25,27
CH4_AWB,CH4,21,28,25,21,28,25,27
N2O,N2O,310,265,298,310,265,298,273
N2O_AGR,N2O,310,265,298,310,265,298,273
N2O_AWB,N2O,310,265,298,310,265,298,273
C2F6,Other GHGs,0,0,0,9.2,11.1,12.2,12.41
CF4,Other GHGs,0,0,0,6.5,6.63,7.39,7.379
HFC125,Other GHGs,0,0,0,2.8,3.17,3.5,3.744
HFC134a,Other GHGs,0,0,0,1.3,1.3,1.43,1.526
HFC245fa,Other GHGs,0,0,0,1.03,0.858,1.03,0.962
HFC143a,Other GHGs,0,0,0,3.8,4.8,4.47,5.807
HFC152a,Other GHGs,0,0,0,0.14,0.138,0.124,0.164
HFC227ea,Other GHGs,0,0,0,2.9,3.35,3.22,3.602
HFC23,Other GHGs,0,0,0,11.7,12.4,14.8,14.59
HFC236fa,Other GHGs,0,0,0,6.3,8.06,9.81,8.689
HFC32,Other GHGs,0,0,0,0.65,0.677,0.675,0.77
HFC365mfc,Other GHGs,0,0,0,0.794,0.804,0.794,0.913
HFC43,Other GHGs,0,0,0,1.64,1.65,1.64,1.599
SF6,Other GHGs,0,0,0,23.9,23.5,22.8,25.184
BC,Other GHGs,0,0,0,0,0,0,0
BC_AWB,Other GHGs,0,0,0,0,0,0,0
CO,Other GHGs,0,0,0,0,0,0,0
CO_AWB,Other GHGs,0,0,0,0,0,0,0
NH3,Other GHGs,0,0,0,0,0,0,0
NH3_AGR,Other GHGs,0,0,0,0,0,0,0
NH3_AWB,Other GHGs,0,0,0,0,0,0,0
NMVOC,Other GHGs,0,0,0,0,0,0,0
NMVOC_AWB,Other GHGs,0,0,0,0,0,0,0
NMVOC_AGR,Other GHGs,0,0,0,0,0,0,0
NOx,Other GHGs,0,0,0,0,0,0,0
NOx_AGR,Other GHGs,0,0,0,0,0,0,0
NOx_AWB,Other GHGs,0,0,0,0,0,0,0
OC,Other GHGs,0,0,0,0,0,0,0
OC_AWB,Other GHGs,0,0,0,0,0,0,0
SO2_3,Other GHGs,0,0,0,0,0,0,0
SO2_3_AWB,Other GHGs,0,0,0,0,0,0,0
H2,Other GHGs,0,0,0,0,0,0,0
H2_AWB,Other GHGs,0,0,0,0,0,0,0
